country,st25q01,st62q11,N,WTD_N,PCT,SE(PCT),MEAN,SE(MEAN)
Korea,Other language,Never heard of it,1,114.08949999999999,69.6755726472864,31.679839018089496,NA,NA
Korea,Other language,Heard of it,1,49.6544,30.324427352713602,31.67983901808949,NA,NA
Latvia,Language of the test,Never heard of it,1248,4794.3006000000005,51.70178245655204,1.497102254198694,500.8141819378279,3.1730093683844047
Latvia,Language of the test,Heard of it,1220,4478.6884,48.298217543447954,1.4971022541986987,487.8313871218672,4.2143602258453186
Latvia,Other language,Never heard of it,145,565.1534,53.7763492058961,4.018759713465222,487.9416307801351,6.63060328289646
Latvia,Other language,Heard of it,133,485.7796,46.22365079410391,4.01875971346522,472.3918143234335,9.117663970745129
Liechtenstein,Language of the test,Never heard of it,122,129.3215,74.72134381299773,3.445995196127712,550.0490026147698,8.49757754187667
Liechtenstein,Language of the test,Heard of it,40,43.7502,25.27865618700227,3.445995196127712,529.5638234386129,15.249833295765137
Liechtenstein,Other language,Never heard of it,16,17.5887,62.001029314307466,10.713339001846574,468.58721115716344,21.94976884112329
Liechtenstein,Other language,Heard of it,10,10.7797,37.99897068569253,10.713339001846572,505.1919098436875,27.458778206824633
Lithuania,Language of the test,Never heard of it,1874,13360.5091,67.80448181813185,1.085419314710759,493.1876071772394,2.77712123641393
Lithuania,Language of the test,Heard of it,896,6343.954,32.195518181868145,1.085419314710761,468.6346171646367,4.648815183623848
Lithuania,Other language,Never heard of it,48,374.5096,51.65259232819368,5.4224624293041925,456.9360067783254,16.310730182325738
Lithuania,Other language,Heard of it,41,350.54519999999997,48.34740767180632,5.4224624293041925,425.0312260988084,13.551667798397302
Luxembourg,Language of the test,Never heard of it,277,292.5867,62.14269511909172,2.277359457225861,540.7959816496029,5.752732906550475
Luxembourg,Language of the test,Heard of it,167,178.2437,37.85730488090828,2.2773594572258617,536.022537234786,7.176521524502232
Luxembourg,Other language,Never heard of it,1574,1646.3101,61.37883235531575,0.9549886062158545,499.7546120706412,2.6330671662455707
Luxembourg,Other language,Heard of it,986,1035.9014,38.62116764468425,0.9549886062158529,489.788181312541,2.7322919676848163
Macao-China,Language of the test,Never heard of it,1982,1992.5034,68.84308571286418,0.9003121002570998,540.7036607185416,2.019869167729868
Macao-China,Language of the test,Heard of it,897,901.7646,31.156914287135812,0.9003121002571014,541.137589959345,3.140801328869226
Macao-China,Other language,Never heard of it,193,194.1096,42.268529728919916,2.595311577306727,551.6799815575204,7.566744105433442
Macao-China,Other language,Heard of it,263,265.12,57.731470271080084,2.5953115773067283,543.409591542008,5.581005135450977
Malaysia,Language of the test,Never heard of it,992,81827.09469999999,51.28706999236814,1.044405401589026,413.1963528714071,3.8457543974856345
Malaysia,Language of the test,Heard of it,942,77720.12589999998,48.71293000763186,1.044405401589026,406.5752987643342,3.7421029565673574
Malaysia,Other language,Never heard of it,636,53378.889899999995,45.566607463246925,1.3611898670656857,448.11564931422794,5.746381033082443
Malaysia,Other language,Heard of it,757,63765.863399999995,54.433392536753075,1.361189867065684,431.83008991822925,5.3220726398249925
Mexico,Language of the test,Never heard of it,8828,336552.62489999994,41.5286994031527,0.547510238362644,417.95908815568293,1.7945710016466812
Mexico,Language of the test,Heard of it,12047,473857.11519999994,58.47130059684731,0.547510238362645,416.6500336123635,1.5312621000430093
Mexico,Other language,Never heard of it,209,9460.4131,38.72241241195758,2.287830636950428,365.3443201615037,5.893098827558438
Mexico,Other language,Heard of it,335,14970.949799999999,61.277587588042415,2.2878306369504284,363.85362214136677,6.349792668703686
Montenegro,Language of the test,Never heard of it,727,1236.0482,25.84932692838759,0.8194044330695958,416.9639977382307,3.5456989904952723
Montenegro,Language of the test,Heard of it,2202,3545.6941,74.15067307161242,0.8194044330695951,413.5969620692375,1.7346273461797614
Montenegro,Other language,Never heard of it,9,15.5372,33.79577063457882,9.38700659980944,338.4030104448677,20.251367290571995
Montenegro,Other language,Heard of it,20,30.436600000000002,66.20422936542117,9.38700659980944,400.86996368122567,24.30817717907926
Netherlands,Language of the test,Never heard of it,1937,85042.22959999999,76.48839363668651,0.8295817365041569,533.2250206285574,3.8232526477995465
Netherlands,Language of the test,Heard of it,578,26140.951999999997,23.511606363313497,0.8295817365041601,544.8560688100005,6.445302250205264
